,concept:name,org:resource,Activity,Resource,elementId,start_timestamp,time:timestamp,@@duration,@@approx_bh_partial_cycle_time,@@approx_bh_partial_lead_time,@@approx_bh_overall_wasted_time,@@approx_bh_this_wasted_time,@approx_bh_ratio_cycle_lead_time,case:concept:name,case:variant,case:variant-index,case:creator,case:processId,resourceId,@@startevent_concept:name,@@startevent_org:resource,@@startevent_Activity,@@startevent_Resource,@@startevent_elementId,@@startevent_resourceId
35,startAnalysis,DB-000001,startAnalysis,DB-000001,Activity_1ryq35g,2022-02-28 10:00:49.749000+01:00,2022-02-28 10:00:49.884000+01:00,0.135,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387,startAnalysis,DB-000001,startAnalysis,DB-000001,Activity_1ryq35g,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387
36,analyzeData,DB-000001,analyzeData,DB-000001,Activity_1xe7czy,2022-02-28 10:00:56.783000+01:00,2022-02-28 10:00:57.270000+01:00,0.487,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387,analyzeData,DB-000001,analyzeData,DB-000001,Activity_1xe7czy,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387
37,analyzeData,DB-000001,analyzeData,DB-000001,Activity_1xe7czy,2022-02-28 10:00:59.207000+01:00,2022-02-28 10:01:00.431000+01:00,1.224,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387,analyzeData,DB-000001,analyzeData,DB-000001,Activity_1xe7czy,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387
38,EVENT2START,,EVENT2START,,Event_0gjguyy,2022-02-28 10:01:00.009000+01:00,2022-02-28 10:01:00.009000+01:00,0.0,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,,,,,,,
39,receiveBloodMeasure,BloodSens-000003,receiveBloodMeasure,BloodSens-000003,Activity_0bf5drw,2022-02-28 10:01:00.009000+01:00,2022-02-28 10:01:00.570000+01:00,0.561,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,QBP_DEFAULT_RESOURCE,receiveBloodMeasure,BloodSens-000003,receiveBloodMeasure,BloodSens-000003,Activity_0bf5drw,QBP_DEFAULT_RESOURCE
40,sendDataToMq,MQ-000001,sendDataToMq,MQ-000001,Activity_175b5zm,2022-02-28 10:01:00.570000+01:00,2022-02-28 10:01:00.963000+01:00,0.393,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_28ea3dd5-8268-a446-c987-8bbc1c3f390d,sendDataToMq,MQ-000001,sendDataToMq,MQ-000001,Activity_175b5zm,qbp_28ea3dd5-8268-a446-c987-8bbc1c3f390d
41,receiveDataFromMq,MQ-000001,receiveDataFromMq,MQ-000001,Activity_1jvlw48,2022-02-28 10:01:00.963000+01:00,2022-02-28 10:01:01.294000+01:00,0.331,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_28ea3dd5-8268-a446-c987-8bbc1c3f390d,receiveDataFromMq,MQ-000001,receiveDataFromMq,MQ-000001,Activity_1jvlw48,qbp_28ea3dd5-8268-a446-c987-8bbc1c3f390d
42,analyzeData,DB-000001,analyzeData,DB-000001,Activity_1xe7czy,2022-02-28 10:01:04.174000+01:00,2022-02-28 10:01:05.353000+01:00,1.179,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387,analyzeData,DB-000001,analyzeData,DB-000001,Activity_1xe7czy,qbp_02cb4868-6953-36e7-7ac4-7f1520a4c387
43,EVENT2START,,EVENT2START,,Event_0gjguyy,2022-02-28 10:01:09.214000+01:00,2022-02-28 10:01:09.214000+01:00,0.0,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,,,,,,,
44,receiveBloodMeasure,BloodSens-000007,receiveBloodMeasure,BloodSens-000007,Activity_0bf5drw,2022-02-28 10:01:09.214000+01:00,2022-02-28 10:01:09.616000+01:00,0.402,0,0,0,0,1,60,Variant 4,4,Fluxicon Disco,Process_1,QBP_DEFAULT_RESOURCE,receiveBloodMeasure,BloodSens-000007,receiveBloodMeasure,BloodSens-000007,Activity_0bf5drw,QBP_DEFAULT_RESOURCE
